CardID,MaritalStatus,NumChildren,LoS,HHIncomeMed
"C0100029328","M",3,1.482192,50006.103702
"C0100029479","M",3,0.972603,55551.316874
"C0100029548","",0,-0.720548,55252.845851
"C0100030162","M",4,2.841096,77199.926756
"C0100031092","",1,1.649315,64640.339366
"C0100031383","S",0,2.205479,70291.756951
"C0100031493","M",3,1.884932,88015.076144
"C0100031634","",1,1.539726,26089.968566
"C0100031814","S",0,1.580822,62137.821589
"C0100031928","M",1,0.249315,88015.076144
"C0100032238","",2,0.235616,58355.967895
"C0100032938","",1,1.986301,65326.395459
"C0100033194","",0,0.128767,55921.811579
"C0100033609","S",2,-0.969863,84156.926176
"C0100033676","S",0,0.304110,34859.157079
"C0100033717","S",1,1.920548,84262.520219
"C0100033864","S",1,1.301370,44427.320170
"C0100033895","M",2,1.424658,28977.629933
"C0100034115","S",4,1.169863,88015.076144
"C0100034690","M",2,1.043836,83718.680380
"C0100034731","M",0,1.413699,83659.474471
"C0100034757","S",1,1.336986,68039.490951
"C0100034825","",3,0.476712,69214.453566
"C0100034977","",0,-0.542466,88015.076144
"C0100035241","M",1,0.745205,62585.222938
"C0100035412","S",0,2.249315,84371.776482
"C0100035738","S",0,0.824658,32367.015595
"C0100036008","M",0,0.219178,84371.776482
"C0100036143","",1,1.183562,31956.236457
"C0100036192","",1,1.139726,88015.076144
"C0100036380","M",0,2.753425,52627.033296
"C0100036677","S",7,0.517808,66373.790704
"C0100036915","",1,1.043836,53162.327952
"C0100037034","M",0,1.553425,88015.076144
"C0100037472","S",0,2.134247,77099.826044
"C0100037658","S",0,-0.882192,30504.776147
"C0100037745","M",3,1.547945,84156.926176
"C0100037767","M",2,2.695890,47911.313211
"C0100037812","M",1,2.526027,80060.121464
"C0100038179","",1,-0.490411,86498.306223
"C0100038720","",1,2.413699,87109.286782
"C0100039107","",1,2.994521,87109.286782
"C0100039329","M",1,1.005479,30089.114048
"C0100039612","M",3,1.832877,70989.410077
"C0100039696","S",0,1.610959,87109.286782
"C0100039837","",0,2.860274,83659.474471
"C0100040254","S",0,2.865753,60209.662160
"C0100040305","M",0,1.375342,75006.256294
"C0100040510","M",0,2.736986,56636.555071
"C0100040807","S",0,0.758904,50147.099216
"C0100041032","M",1,2.432877,85823.847163
"C0100041438","",1,1.005479,84371.776482
"C0100041742","S",0,1.843836,85338.602863
"C0100042285","M",1,0.564384,72897.427290
"C0100042400","M",3,-0.654795,55276.039918
"C0100042407","M",1,1.057534,55338.297678
"C0100042446","S",0,0.043836,46974.394971
"C0100042563","S",0,2.723288,55589.159825
"C0100042882","",0,1.890411,88015.076144
"C0100043022","M",4,0.767123,88015.076144
"C0100043040","",0,2.287671,37904.904324
"C0100043364","S",3,2.468493,47125.156407
"C0100043861","S",5,0.005479,88015.076144
"C0100044359","S",1,1.608219,33308.206427
"C0100044375","M",3,1.758904,88015.076144
"C0100044662","S",2,1.200000,78058.717612
"C0100044680","M",2,0.134247,87109.286782
"C0100045044","M",2,1.972603,88015.076144
"C0100045140","M",4,1.956164,85831.781976
"C0100045315","",0,0.073973,31628.467666
"C0100045649","M",1,-0.646575,70728.171636
"C0100045668","",1,0.832877,39294.717246
"C0100045728","",0,2.501370,35338.297678
"C0100045876","S",0,-0.506849,66976.836451
"C0100046511","",1,2.994521,26456.190680
"C0100046905","S",1,1.589041,72916.348766
"C0100047465","",0,0.824658,48006.530961
"C0100047987","S",0,1.646575,46545.915098
"C0100048089","",0,1.849315,32210.760826
"C0100048125","",0,2.652055,53233.130894
"C0100048383","M",2,2.953425,56937.467574
"C0100048487","S",1,1.131507,68947.721793
"C0100048835","",2,1.320548,46608.172857
"C0100049638","M",1,-0.509589,88015.076144
"C0100050373","S",0,2.939726,81405.377361
"C0100050607","S",1,-0.767123,62755.516221
"C0100050881","S",2,2.498630,48047.425764
"C0100051040","M",0,-0.934247,57032.685324
"C0100051340","",4,1.452055,39026.764733
"C0100051612","",0,0.224658,61675.160985
"C0100052332","S",0,1.142466,87747.734001
"C0100052526","M",3,0.169863,74127.323222
"C0100053026","",0,-0.745205,75037.995544
"C0100053395","M",2,0.778082,87747.734001
"C0100053859","",0,1.224658,58365.733818
"C0100054367","S",0,1.805479,88015.076144
"C0100055079","S",0,0.986301,82066.408277
"C0100055325","M",0,2.038356,41777.092807
"C0100055488","S",0,0.482192,63387.859737
"C0100056052","",2,0.758904,88015.076144
"C0100057309","M",1,0.621918,56700.033570
"C0100057366","M",1,0.457534,56689.657277
"C0100057771","M",4,0.032877,44419.995727
"C0100058149","",1,0.153425,38197.271645
"C0100058242","M",2,1.972603,38207.647938
"C0100058324","",0,2.200000,38162.480544
"C0100058331","S",2,0.561644,70032.349620
"C0100058669","M",2,0.926027,78697.775201
"C0100058764","",0,2.057534,88015.076144
"C0100059062","S",0,2.942466,83659.474471
"C0100059120","",0,-0.520548,59673.757134
"C0100059381","",0,2.104110,62093.874935
"C0100059847","",5,2.224658,88015.076144
"C0100060328","",1,0.268493,79959.410382
"C0100060678","M",2,0.671233,58405.407880
"C0100061403","",0,0.671233,73205.053865
"C0100062063","M",1,1.783562,66957.914975
"C0100062438","S",0,2.156164,48336.741234
"C0100062708","",2,1.276712,77688.833277
"C0100062987","M",1,2.131507,44378.490555
"C0100063070","",1,-0.726027,45654.774621
"C0100063500","",3,1.197260,88015.076144
"C0100063688","S",4,2.772603,70043.336283
"C0100063896","M",1,2.334247,63407.391583
"C0100063987","",1,1.841096,45853.144932
"C0100064025","",0,2.610959,84190.496536
"C0100064120","M",1,-0.789041,26957.914975
"C0100064550","M",0,-0.586301,62605.975524
"C0100064668","M",0,0.249315,47217.322306
"C0100065000","",1,0.479452,55376.750999
"C0100065103","S",4,2.690411,54428.846095
"C0100065859","",0,1.279452,35319.376202
"C0100065937","S",0,2.819178,56018.860439
"C0100066267","M",2,1.800000,72882.168035
"C0100066398","M",3,2.906849,50919.827876
"C0100067022","",2,2.490411,69242.530595
"C0100067185","",1,2.482192,88015.076144
"C0100067220","M",1,0.378082,88015.076144
"C0100068223","S",0,0.427397,67978.453932
"C0100068252","S",1,2.008219,88015.076144
"C0100068498","",1,0.369863,51458.174383
"C0100068611","",2,0.424658,71456.953642
"C0100068810","S",0,0.860274,51298.867763
"C0100068929","S",2,2.756164,50643.940550
"C0100069107","S",0,0.857534,60033.265175
"C0100069117","",3,2.772603,60039.368877
"C0100069385","M",1,1.249315,61653.798029
"C0100069823","M",0,1.463014,47407.147435
"C0100070019","S",1,0.476712,55273.598437
"C0100070283","S",0,0.761644,52486.648152
"C0100070619","M",2,0.972603,29996.948149
"C0100070993","M",0,0.098630,44402.294992
"C0100071668","S",0,0.526027,88015.076144
"C0100072173","M",1,0.142466,88015.076144
"C0100072553","S",0,1.197260,41609.851375
"C0100072753","M",2,0.230137,83659.474471
"C0100073195","",1,0.257534,52237.006745
"C0100073474","",0,1.073973,48529.618213
"C0100073984","S",0,0.767123,68023.621326
"C0100074117","",3,-0.517808,68023.010956
"C0100074327","",3,2.219178,67559.129612
"C0100074417","M",3,0.030137,43881.649220
"C0100074662","M",3,2.106849,72897.427290
"C0100074745","M",4,1.095890,74965.361492
"C0100074945","S",0,1.361644,82107.913450
"C0100074960","",0,1.860274,41134.372997
"C0100075034","",1,1.106849,45057.832575
"C0100076563","",1,2.780822,75013.580737
"C0100077249","S",0,0.282192,88015.076144
"C0100077250","S",1,2.073973,87747.734001
"C0100077260","",0,1.909589,85312.356944
"C0100077892","",0,2.306849,88015.076144
"C0100078220","S",3,1.268493,83728.446303
"C0100078423","S",0,2.276712,59123.813593
"C0100078580","",2,2.276712,41051.362651
"C0100078632","S",0,0.254795,70297.250282
"C0100079000","",0,1.819178,54778.588214
"C0100079071","M",1,2.591781,54924.466689
"C0100079273","S",0,0.753425,67595.751823
"C0100079386","",1,-0.668493,28698.690756
"C0100079764","M",0,0.627397,58379.161962
"C0100080648","",3,1.767123,47966.856899
"C0100080797","S",0,1.819178,31339.152196
"C0100080982","S",0,0.419178,29099.703970
"C0100081708","M",2,0.345205,53237.403485
"C0100081813","S",0,0.424658,83659.474471
"C0100082574","",0,2.008219,59358.806116
"C0100082777","",0,-0.657534,43305.459761
"C0100082867","M",1,2.071233,82919.705802
"C0100082954","S",0,2.172603,83728.446303
"C0100082993","S",0,2.317808,83728.446303
"C0100083064","",0,2.241096,83728.446303
"C0100083335","",0,0.221918,88015.076144
"C0100083605","S",0,1.213699,31346.476638
"C0100083651","S",1,2.145205,34348.887600
"C0100083693","S",0,0.389041,70667.744987
"C0100083838","M",2,2.260274,53415.021210
"C0100083912","M",0,1.416438,44365.062410
"C0100083968","",1,0.043836,44358.348338
"C0100084786","M",2,1.441096,54405.041658
"C0100085226","",0,2.939726,40989.715262
"C0100085593","S",2,1.630137,57642.445143
"C0100085641","M",0,2.772603,69630.726035
"C0100085688","S",4,1.424658,33924.680319
"C0100085823","M",0,0.249315,61296.731468
"C0100085967","S",4,2.567123,42408.825953
"C0100086490","M",2,2.416438,61250.343333
"C0100086961","",0,-0.517808,88015.076144
"C0100086983","M",3,0.832877,88015.076144
"C0100087047","",0,0.186301,88015.076144
"C0100087126","",1,1.372603,31874.446852
"C0100087259","S",3,2.358904,54431.897946
"C0100087579","",3,1.939726,48258.613849
"C0100087614","M",2,1.898630,74964.751122
"C0100087748","M",1,2.364384,58617.816706
"C0100088157","M",3,0.745205,85525.376141
"C0100088416","",1,2.821918,71498.458815
"C0100088501","M",0,1.805479,84195.989868
"C0100088603","",0,-0.564384,46008.789331
"C0100088710","M",0,2.454795,33938.718833
"C0100088728","S",0,2.443836,64615.314188
"C0100088904","M",1,0.238356,83659.474471
"C0100089783","M",2,1.238356,69304.177984
"C0100089846","M",1,0.953425,51486.861782
"C0100090144","",0,0.282192,65035.859249
"C0100090282","S",0,2.854795,88015.076144
"C0100090676","M",0,0.958904,68014.465773
"C0100090786","",0,0.879452,38197.882015
"C0100090967","",0,1.175342,41147.801141
"C0100091092","M",0,1.693151,69193.090609
"C0100091615","",1,1.810959,41000.091556
"C0100091782","S",0,0.353425,73228.247932
"C0100091847","S",5,-0.709589,48030.335398
"C0100091892","",1,0.243836,69601.428266
"C0100092102","M",2,2.800000,50990.630818
"C0100092282","M",1,1.049315,86498.306223
"C0100092658","S",1,0.238356,69578.844569
"C0100093154","S",0,2.205479,55866.267891
"C0100093620","S",0,0.895890,67966.856899
"C0100094748","M",1,2.367123,69586.779382
"C0100094978","M",2,0.926027,56680.501724
"C0100095192","M",0,1.852055,62415.540025
"C0100095597","S",0,1.487671,44676.351207
"C0100095697","M",1,2.731507,69208.960234
"C0100095820","",0,-0.613699,40991.546373
"C0100095870","S",1,-0.613699,69165.623951
"C0100097016","M",1,2.156164,55310.220649
"C0100097185","S",1,2.679452,69208.960234
"C0100099715","",0,2.410959,82107.913450
"C0100099759","",0,0.589041,52675.862911
"C0100100256","M",1,1.279452,37256.080813
"C0100100411","M",0,1.901370,88015.076144
"C0100101238","M",2,-0.547945,85823.847163
"C0100101308","",0,2.041096,51331.827754
"C0100101446","M",1,1.978082,61785.637989
"C0100102024","",0,1.046575,61726.432081
"C0100102067","S",0,-0.509589,58571.428571
"C0100102353","",0,1.753425,88015.076144
"C0100102508","M",2,0.364384,82066.408277
"C0100102911","S",0,1.416438,61669.667653
"C0100103390","",0,2.613699,81405.377361
"C0100103464","S",0,2.852055,28997.772149
"C0100103516","",0,2.997260,88015.076144
"C0100103624","",6,0.698630,49203.466903
"C0100103670","S",0,2.961644,49237.037263
"C0100104360","M",0,2.328767,70017.090365
"C0100104609","M",0,0.183562,33725.699637
"C0100104783","S",0,0.191781,68008.362072
"C0100105240","M",1,0.693151,70022.583697
"C0100105794","",0,1.323288,61315.042573
"C0100106118","S",0,2.789041,83728.446303
"C0100106295","M",0,2.509589,50052.491836
"C0100106900","M",4,2.646575,84150.822474
"C0100107248","M",1,1.978082,56987.517930
"C0100107514","S",2,1.435616,48119.449446
"C0100107880","",0,1.326027,41068.453017
"C0100108032","S",0,1.345205,41092.867824
"C0100108574","S",0,0.734247,85525.376141
"C0100108852","",2,-0.663014,44277.169103
"C0100109460","",0,2.298630,47661.671804
"C0100109564","",0,1.000000,70039.063692
"C0100109701","S",0,-0.578082,66378.673666
"C0100109850","",0,1.550685,88015.076144
"C0100109889","S",0,-0.452055,68359.324931
"C0100110150","",5,0.747945,69564.195685
"C0100110245","",4,2.161644,88015.076144
"C0100111041","S",2,1.805479,39648.731956
"C0100111492","",4,0.468493,69588.610492
"C0100111549","M",1,2.016438,56195.867794
"C0100111640","M",1,-0.526027,37853.633229
"C0100111980","S",0,0.391781,75030.060732
"C0100112684","S",0,2.997260,70853.907895
"C0100112906","S",0,0.904110,86856.593524
"C0100113395","S",0,2.802740,35916.928617
"C0100113616","S",0,0.213699,55346.842860
"C0100113705","S",0,2.747945,38166.142766
"C0100113789","",0,2.257534,61883.907590
"C0100113887","M",1,1.871233,42674.336985
"C0100114158","S",2,2.093151,46830.347606
"C0100114248","S",0,1.084932,46581.926939
"C0100114487","S",0,2.021918,55619.678335
"C0100114827","M",3,1.427397,83659.474471
"C0100114828","S",0,0.263014,46605.121006
"C0100115071","S",0,0.142466,65726.798303
"C0100115072","M",3,0.430137,69604.480117
"C0100115245","M",1,1.235616,53236.182745
"C0100115812","M",3,0.884932,68387.401959
"C0100115882","S",1,2.602740,86419.568468
"C0100116898","M",1,1.501370,53195.898312
"C0100117226","M",0,1.619178,83659.474471
"C0100117330","S",0,-0.534247,48526.566362
"C0100117644","M",1,1.054795,31515.549181
"C0100117804","S",0,1.717808,30267.342143
"C0100118006","S",2,0.939726,69567.857906
"C0100118035","",0,1.660274,31902.523881
"C0100118078","M",3,2.336986,37997.070223
"C0100118157","M",1,1.035616,48026.673177
"C0100118454","S",0,0.558904,66393.322550
"C0100118773","M",0,0.364384,66250.495926
"C0100118829","S",0,2.471233,75467.696158
"C0100119247","",1,1.679452,61340.067751
"C0100119429","",2,2.841096,56154.362621
"C0100119574","M",1,2.616438,58700.827052
"C0100120001","",0,2.284932,31381.878109
"C0100120253","S",0,2.112329,30328.379162
"C0100120343","",0,1.536986,85480.819117
"C0100121324","S",0,1.682192,56472.365490
"C0100121439","S",0,0.709589,51086.458937
"C0100121855","",0,2.230137,75037.995544
"C0100122073","S",1,2.038356,53350.321970
"C0100122230","S",0,1.106849,32006.897183
"C0100122574","M",1,1.536986,75089.266640
"C0100122763","S",1,2.802740,64371.776482
"C0100122837","S",0,1.235616,24387.035737
"C0100122849","M",3,2.821918,86856.593524
"C0100123447","M",1,2.454795,58642.231513
"C0100124048","",1,-0.572603,70734.885708
"C0100124073","M",3,2.430137,77146.824549
"C0100124336","M",1,2.328767,74348.277230
"C0100124719","M",1,1.915068,88015.076144
"C0100124914","M",4,1.312329,32232.123783
"C0100125071","M",0,-0.520548,65936.155278
"C0100125423","M",0,0.687671,88015.076144
"C0100125853","S",0,-0.578082,57069.307535
"C0100125930","S",0,1.158904,70668.965728
"C0100126148","S",2,0.520548,46571.550645
"C0100126391","M",1,-0.545205,83659.474471
"C0100126477","S",0,-0.712329,88015.076144
"C0100126931","",4,2.273973,83659.474471
"C0100127232","M",0,0.369863,87747.734001
"C0100127259","",2,0.723288,83718.680380
"C0100127302","S",0,0.531507,88015.076144
"C0100127416","M",3,1.542466,64976.042970
"C0100127761","S",0,2.326027,55890.682699
"C0100128436","M",0,1.378082,42622.455519
"C0100128838","",0,-0.753425,82453.382977
"C0100128877","M",3,0.230137,71043.733024
"C0100129953","M",0,0.191781,46621.601001
"C0100130024","S",7,1.054795,66992.706076
"C0100130378","S",4,2.046575,34828.028199
"C0100130982","S",0,2.969863,84424.878689
"C0100131348","",0,1.441096,84371.776482
"C0100131384","",0,0.093151,63882.259590
"C0100131884","M",3,0.136986,48016.296884
"C0100131916","",0,2.969863,47989.440596
"C0100131999","M",1,1.632877,30082.399976
"C0100132070","S",4,-0.569863,27263.710440
"C0100132227","M",4,0.326027,71833.552049
"C0100132313","M",5,1.263014,38425.550096
"C0100132560","",0,-0.769863,42621.845149
"C0100132621","M",3,2.591781,53220.313120
"C0100132901","",1,1.920548,32220.526749
"C0100132978","",0,0.424658,32224.188971
"C0100133007","S",0,0.035616,69211.401715
"C0100133344","S",0,2.265753,59110.995819
"C0100133390","S",1,1.315068,38117.313150
"C0100133449","",2,-0.621918,83718.680380
"C0100133561","M",1,0.857534,72217.474899
"C0100133584","",1,0.808219,53150.730918
"C0100133869","",1,1.761644,86497.695853
"C0100133975","",1,0.660274,75023.346660
"C0100134174","",1,1.347945,88015.076144
"C0100134279","S",0,-0.660274,40351.878414
"C0100134404","M",3,0.060274,28814.050722
"C0100134480","M",1,2.657534,48478.347118
"C0100134659","",0,0.389041,17773.064364
"C0100134716","",3,1.435616,70720.847194
"C0100134815","",0,-0.528767,40989.104892
"C0100135502","",0,2.704110,43254.188665
"C0100136348","S",0,2.145205,49861.445967
"C0100136527","S",2,1.838356,46627.094333
"C0100136596","",0,2.802740,45028.534806
"C0100136612","S",0,1.808219,17773.064364
"C0100137022","",0,2.120548,88015.076144
"C0100137395","",0,2.104110,83659.474471
"C0100137600","",0,-0.542466,64699.545274
"C0100137960","M",0,0.873973,82904.446547
"C0100138567","",1,0.005479,88015.076144
"C0100138868","M",1,1.580822,84371.776482
"C0100138957","",1,2.668493,18849.757378
"C0100138972","S",2,2.816438,65029.755547
"C0100139277","",0,1.487671,32221.747490
"C0100139360","S",0,0.260274,35929.746391
"C0100139400","",0,2.780822,75149.693289
"C0100139484","M",4,2.298630,88015.076144
"C0100140015","M",1,1.652055,33087.862789
"C0100140196","M",2,1.115068,38443.861202
"C0100140207","S",0,1.630137,27020.172735
"C0100141427","S",0,1.871233,66954.863124
"C0100141635","S",0,1.586301,55113.681448
"C0100141719","M",2,2.336986,44988.860744
"C0100141793","S",6,0.797260,70722.678304
"C0100141847","M",2,-0.717808,57708.365123
"C0100142087","",0,2.800000,43160.802026
"C0100142120","S",0,0.169863,88015.076144
"C0100142192","S",1,-0.720548,85823.847163
"C0100142422","",4,1.915068,55824.152348
"C0100142472","M",2,-0.865753,23119.907224
"C0100142737","M",1,0.893151,73088.473159
"C0100142858","",0,1.695890,77070.528275
"C0100142917","",1,0.172603,88015.076144
"C0100143421","S",1,2.534247,71792.046876
"C0100143466","S",0,-0.668493,54129.154332
"C0100144128","M",4,2.446575,55607.470931
"C0100144374","M",2,0.336986,83728.446303
"C0100144664","",2,1.715068,58639.790033
"C0100144757","M",1,1.180822,75023.346660
"C0100144828","",2,2.972603,40282.296213
"C0100145568","M",7,0.534247,32089.297159
"C0100145679","",1,2.671233,64174.626911
"C0100146051","M",1,0.772603,81447.492904
"C0100146278","M",1,0.753425,44067.201758
"C0100147099","",0,0.873973,51047.395245
"C0100147200","",0,2.517808,46450.697348
"C0100147340","",2,1.972603,72648.396252
"C0100147759","",2,2.898630,88015.076144
"C0100147881","S",3,0.317808,32191.228980
"C0100148129","S",0,-0.545205,34790.185247
"C0100148785","S",3,1.734247,56723.838008
"C0100148878","S",0,2.468493,54981.841487
"C0100149505","S",0,2.882192,85831.781976
"C0100149639","",1,2.832877,66387.829218
"C0100149670","M",1,1.958904,66445.204016
"C0100150185","",0,1.120548,84371.776482
"C0100150239","M",5,1.136986,40248.115482
"C0100150286","S",0,1.397260,35899.838252
"C0100150537","",0,-0.789041,86498.306223
"C0100150950","",0,1.906849,65015.106662
"C0100151175","M",1,1.945205,77746.208075
"C0100151449","M",1,1.194521,88015.076144
"C0100151615","S",3,1.652055,44358.958708
"C0100151786","S",3,0.487671,37467.879269
"C0100151835","M",0,0.389041,54449.598682
"C0100151976","S",0,1.158904,64735.557115
"C0100152215","",3,-0.871233,24077.578051
"C0100152580","",2,1.035616,35949.888607
"C0100153371","",1,0.169863,71773.125401
"C0100153570","",2,-0.652055,75041.047395
"C0100153687","",3,2.558904,57121.799371
"C0100153750","S",3,1.780822,88015.076144
"C0100154455","",0,0.635616,37464.217048
"C0100154614","S",2,1.339726,75312.051759
"C0100154629","M",1,2.460274,44374.217963
"C0100154658","M",3,0.145205,19877.620777
"C0100154713","",1,0.416438,68007.141331
"C0100155093","S",0,0.649315,68015.686514
"C0100155224","S",0,0.909589,81447.492904
"C0100155375","S",0,1.671233,39302.041688
"C0100155803","S",0,2.441096,48968.474380
"C0100155907","S",0,2.221918,69151.585437
"C0100156038","",0,1.254795,71499.069185
"C0100156309","M",1,2.947945,40383.617664
"C0100156449","M",0,1.367123,85823.847163
"C0100156741","",0,2.835616,42980.132450
"C0100156934","M",4,0.460274,38182.622761
"C0100156970","",3,0.210959,58412.121952
"C0100157320","M",0,1.895890,55277.871029
"C0100157391","M",0,2.019178,31014.435255
"C0100157885","S",1,2.115068,78135.624256
"C0100157975","S",1,1.153425,84799.645985
"C0100158058","",1,2.438356,53442.487869
"C0100158196","M",1,0.586301,57709.585864
"C0100158395","M",3,2.893151,35938.901944
"C0100158599","M",4,-0.564384,88015.076144
"C0100158704","",2,2.904110,40406.201361
"C0100158722","S",0,0.838356,20820.642720
"C0100158850","",0,1.915068,31854.915006
"C0100158927","",0,2.835616,32166.814173
"C0100158984","",1,2.764384,65314.798425
"C0100159416","M",2,2.221918,74143.803217
"C0100159626","",0,0.219178,40870.082705
"C0100159653","",0,0.652055,61731.315043
"C0100159790","",1,-0.709589,42098.757897
"C0100160143","M",3,2.827397,42540.055544
"C0100160216","S",0,-0.586301,51928.769799
"C0100160504","M",1,-0.512329,70281.991028
"C0100160556","S",0,2.205479,50887.478256
"C0100160628","S",0,1.895890,57743.156224
"C0100160838","S",1,1.139726,88015.076144
"C0100161182","S",0,1.082192,33062.837611
"C0100161382","",1,2.701370,86497.695853
"C0100161775","",1,0.953425,71809.747612
"C0100161808","",0,0.775342,61683.706168
"C0100161967","M",2,1.430137,65537.583544
"C0100162122","S",0,0.484932,61659.901730
"C0100162193","M",4,2.967123,46589.861751
"C0100162268","M",3,1.575342,60016.174810
"C0100162336","S",0,2.819178,25645.619068
"C0100162795","S",0,0.098630,84156.926176
"C0100162811","M",2,2.613699,62371.593371
"C0100163043","S",0,2.082192,88015.076144
"C0100163136","",2,2.991781,77069.917905
"C0100163412","",0,1.975342,74292.123173
"C0100163494","S",1,2.284932,78568.987091
"C0100163551","",0,1.824658,83659.474471
"C0100164425","",0,0.679452,54806.665242
"C0100164843","S",0,1.345205,78776.512955
"C0100165500","S",1,0.106849,88015.076144
"C0100165559","S",0,1.704110,67967.467269
"C0100166115","M",1,0.427397,62439.954833
"C0100166183","S",0,1.578082,61081.270791
"C0100166567","M",2,0.901370,85831.781976
"C0100167210","M",3,2.284932,88015.076144
"C0100167267","",1,0.339726,71784.112064
