CardID,Responded
"C0100127416","F"
"C0100127761","F"
"C0100128436","F"
"C0100128838","F"
"C0100128877","F"
"C0100129953","F"
"C0100130024","T"
"C0100130378","F"
"C0100130982","F"
"C0100131348","F"
"C0100131384","F"
"C0100131884","F"
"C0100131916","F"
"C0100131999","F"
"C0100132070","F"
"C0100132227","T"
"C0100132313","T"
"C0100132560","F"
"C0100132621","F"
"C0100132901","F"
"C0100132978","F"
"C0100133007","F"
"C0100133344","F"
"C0100133390","F"
"C0100133449","F"
"C0100133561","F"
"C0100133584","T"
"C0100133869","F"
"C0100133975","F"
"C0100134174","F"
"C0100134279","F"
"C0100134404","F"
"C0100134480","F"
"C0100134659","F"
"C0100134716","F"
"C0100134815","F"
"C0100135502","F"
"C0100136348","F"
"C0100136527","F"
"C0100136596","F"
"C0100136612","F"
"C0100136612","F"
"C0100137022","F"
"C0100137395","F"
"C0100137600","F"
"C0100137960","F"
"C0100138567","F"
"C0100138868","F"
"C0100138957","F"
"C0100138972","F"
"C0100139277","F"
"C0100139360","F"
"C0100139400","F"
"C0100139484","F"
"C0100140015","F"
"C0100140196","F"
"C0100140207","F"
"C0100141427","F"
"C0100141635","F"
"C0100141719","F"
"C0100141793","F"
"C0100141847","F"
"C0100142087","T"
"C0100142120","F"
"C0100142192","F"
"C0100142422","F"
"C0100142472","F"
"C0100142737","F"
"C0100142858","F"
"C0100142917","F"
"C0100143421","F"
"C0100143466","F"
"C0100144128","F"
"C0100144374","F"
"C0100144664","F"
"C0100144757","F"
"C0100144828","F"
"C0100145568","F"
"C0100145679","F"
"C0100146051","F"
"C0100146278","F"
"C0100147099","F"
"C0100147200","F"
"C0100147340","F"
"C0100147759","F"
"C0100147881","F"
"C0100148129","F"
"C0100148785","F"
"C0100148878","F"
"C0100149505","F"
"C0100149639","F"
"C0100149670","F"
"C0100150185","F"
"C0100150239","F"
"C0100150286","F"
"C0100150537","F"
"C0100150950","F"
"C0100151175","F"
"C0100151449","F"
"C0100151615","F"
"C0100151786","F"
"C0100151835","F"
"C0100151976","F"
"C0100152215","F"
"C0100152580","F"
"C0100153371","F"
"C0100153570","F"
"C0100153687","F"
"C0100153750","F"
"C0100154455","F"
"C0100154614","F"
"C0100154629","F"
"C0100154658","F"
"C0100154713","F"
"C0100155093","F"
"C0100155224","T"
"C0100155375","T"
"C0100155803","F"
"C0100155907","F"
"C0100156038","F"
"C0100156309","F"
"C0100156449","F"
"C0100156741","F"
"C0100156934","F"
"C0100156970","F"
"C0100157320","F"
"C0100157391","F"
"C0100157885","F"
"C0100157975","F"
"C0100158058","T"
"C0100158196","F"
"C0100158395","F"
"C0100158599","F"
"C0100158704","F"
"C0100158722","F"
"C0100158850","F"
"C0100158927","F"
"C0100158984","F"
"C0100159416","F"
"C0100159416","F"
"C0100159626","T"
"C0100159653","F"
"C0100159790","F"
"C0100160143","F"
"C0100160216","F"
"C0100160504","F"
"C0100160556","F"
"C0100160628","F"
"C0100160838","T"
"C0100161182","F"
"C0100161382","F"
"C0100161775","F"
"C0100161808","F"
"C0100161967","F"
"C0100162122","F"
"C0100162193","F"
"C0100162268","F"
"C0100162336","F"
"C0100162795","F"
"C0100162811","F"
"C0100163043","T"
"C0100163136","F"
"C0100163412","F"
"C0100163494","F"
"C0100163551","F"
"C0100164425","F"
"C0100164843","F"
"C0100165500","F"
"C0100165559","F"
"C0100166115","F"
"C0100166183","F"
"C0100166567","T"
"C0100167210","F"
"C0100167267","F"
"C0100167445","F"
"C0100167717","F"
"C0100167847","F"
"C0100168020","F"
"C0100168153","F"
"C0100168209","F"
"C0100168348","F"
"C0100168910","F"
"C0100169151","F"
"C0100169274","F"
"C0100169447","T"
"C0100169568","F"
"C0100169654","F"
"C0100169707","F"
"C0100169819","F"
"C0100169907","F"
"C0100170507","F"
"C0100170777","F"
"C0100170971","F"
"C0100171431","F"
"C0100171511","F"
"C0100171636","F"
"C0100171930","F"
"C0100171993","F"
"C0100172416","F"
"C0100172663","F"
"C0100172735","F"
"C0100173119","T"
"C0100173452","F"
"C0100173494","F"
"C0100173612","F"
"C0100173838","F"
"C0100174129","F"
"C0100174316","F"
"C0100174700","F"
"C0100174775","F"
"C0100175096","F"
"C0100175154","F"
"C0100175646","T"
"C0100175719","F"
"C0100175833","F"
"C0100176580","F"
"C0100177468","F"
"C0100177589","F"
"C0100177895","F"
"C0100178052","F"
"C0100178169","T"
"C0100178540","T"
"C0100178565","T"
"C0100178884","F"
"C0100178931","F"
"C0100179542","T"
"C0100179571","F"
"C0100179831","F"
"C0100180076","F"
"C0100180100","F"
"C0100180554","F"
"C0100180847","F"
"C0100180956","F"
"C0100180990","F"
"C0100181209","F"
"C0100181514","T"
"C0100181550","F"
"C0100181819","F"
"C0100181832","F"
"C0100182139","F"
"C0100182254","F"
"C0100182478","F"
"C0100182769","F"
"C0100182769","F"
"C0100183635","F"
"C0100184693","F"
"C0100184709","F"
"C0100184837","F"
"C0100185956","F"
"C0100185978","F"
"C0100186024","F"
"C0100186094","F"
"C0100186288","F"
"C0100186488","F"
"C0100186917","F"
"C0100187021","F"
"C0100187500","F"
"C0100187683","F"
"C0100188122","F"
"C0100188991","F"
"C0100189543","F"
"C0100189936","F"
"C0100190309","F"
"C0100190581","F"
"C0100191205","F"
"C0100191515","F"
"C0100191683","F"
"C0100191761","F"
"C0100191791","F"
"C0100191864","T"
"C0100192651","F"
"C0100192811","F"
"C0100193108","F"
"C0100193394","F"
"C0100193664","F"
"C0100193949","F"
"C0100194010","F"
"C0100194062","F"
"C0100194351","F"
"C0100194772","F"
"C0100195288","F"
"C0100195288","F"
"C0100195580","F"
"C0100195854","F"
"C0100196285","T"
"C0100196309","F"
"C0100196694","F"
"C0100197285","F"
"C0100197527","F"
"C0100197527","F"
"C0100198028","F"
"C0100198045","F"
"C0100198422","F"
"C0100198751","F"
"C0100198938","F"
"C0100199017","F"
"C0100199348","F"
"C0100199890","F"
"C0100200126","F"
"C0100200237","F"
"C0100200362","F"
"C0100200679","F"
"C0100200779","F"
"C0100200842","F"
"C0100200880","F"
"C0100200897","F"
"C0100200936","F"
"C0100201318","F"
"C0100201521","F"
"C0100201947","F"
"C0100202212","F"
"C0100202279","F"
"C0100202489","F"
"C0100202591","F"
"C0100202614","F"
"C0100202952","T"
"C0100203124","F"
"C0100203416","F"
"C0100203586","F"
"C0100203664","F"
"C0100203781","F"
"C0100203869","F"
"C0100204012","F"
"C0100204154","F"
"C0100204303","F"
"C0100204629","F"
"C0100205054","F"
"C0100205222","F"
"C0100205678","F"
"C0100205733","F"
"C0100206045","F"
"C0100206070","F"
"C0100206089","F"
"C0100206172","F"
"C0100206255","F"
"C0100206577","F"
"C0100206626","F"
"C0100206710","F"
"C0100206736","T"
"C0100206808","F"
"C0100206831","F"
"C0100206853","F"
"C0100207155","F"
"C0100207312","F"
"C0100207393","F"
"C0100207635","F"
"C0100207839","F"
"C0100208242","F"
"C0100208286","F"
"C0100208425","F"
"C0100208834","F"
"C0100208926","F"
"C0100209083","F"
"C0100209549","F"
"C0100209609","F"
"C0100209637","F"
"C0100209692","F"
"C0100210235","F"
"C0100210305","F"
"C0100210344","F"
"C0100210650","F"
"C0100210810","F"
"C0100210901","F"
"C0100211199","F"
"C0100211635","F"
"C0100211702","T"
"C0100211906","F"
"C0100211957","T"
"C0100212233","F"
"C0100212560","F"
"C0100212808","F"
"C0100213186","F"
"C0100214000","F"
"C0100214699","F"
"C0100214862","F"
"C0100214932","F"
"C0100214932","F"
"C0100215146","F"
"C0100215671","F"
"C0100216118","T"
"C0100216364","F"
"C0100216386","F"
"C0100216462","F"
"C0100217149","F"
"C0100217640","F"
"C0100217792","F"
"C0100217808","T"
"C0100218138","F"
"C0100218189","F"
"C0100218358","F"
"C0100218608","F"
"C0100218826","F"
"C0100218976","F"
"C0100219499","F"
"C0100219550","T"
"C0100219638","F"
"C0100220135","F"
"C0100220238","F"
"C0100220336","F"
"C0100220588","F"
"C0100220707","F"
"C0100220789","F"
"C0100221042","F"
"C0100221042","F"
"C0100221093","F"
"C0100221614","F"
"C0100221929","F"
"C0100222203","F"
"C0100222252","F"
"C0100222612","F"
"C0100223063","F"
"C0100223195","F"
"C0100223261","F"
"C0100223714","F"
"C0100223798","F"
"C0100223889","F"
"C0100224117","F"
"C0100224567","F"
"C0100224741","F"
"C0100225255","F"
"C0100225343","T"
"C0100225477","F"
"C0100225503","F"
"C0100225579","F"
"C0100225672","F"
"C0100225741","F"
"C0100225883","T"
"C0100226140","F"
"C0100226263","T"
"C0100226412","F"
"C0100226507","F"
"C0100226521","F"
"C0100226588","F"
"C0100226698","F"
"C0100227043","F"
"C0100227066","F"
"C0100227429","F"
"C0100229020","F"
"C0100229138","F"
"C0100229168","F"
"C0100229289","F"
"C0100229574","T"
"C0100229740","F"
"C0100229957","T"
"C0100230610","F"
"C0100230651","F"
"C0100231284","F"
"C0100231335","T"
"C0100231527","F"
"C0100231731","F"
"C0100231928","F"
"C0100231935","F"
"C0100231935","F"
"C0100231981","F"
"C0100232190","F"
"C0100232348","F"
"C0100232348","F"
"C0100232774","F"
"C0100233160","F"
"C0100233253","F"
"C0100234069","F"
"C0100234329","F"
"C0100234351","F"
"C0100234375","T"
"C0100234580","F"
"C0100234744","F"
"C0100235222","F"
"C0100235347","F"
"C0100235578","F"
"C0100235648","F"
"C0100235833","F"
"C0100235896","F"
"C0100236317","F"
"C0100236495","T"
"C0100236546","F"
"C0100236548","F"
"C0100236892","F"
"C0100237314","T"
"C0100237576","F"
"C0100238419","F"
"C0100238650","F"
"C0100238900","F"
"C0100239102","F"
"C0100239159","T"
"C0100239706","T"
"C0100239858","F"
"C0100240294","F"
"C0100240363","F"
"C0100240599","F"
"C0100241070","F"
"C0100241158","F"
"C0100241220","F"
"C0100241602","F"
"C0100241653","F"
"C0100242000","F"
"C0100242056","F"
"C0100242465","F"
"C0100243037","F"
"C0100243501","F"
"C0100243904","F"
"C0100243986","F"
"C0100244662","F"
"C0100244844","F"
"C0100244844","F"
"C0100244981","F"
"C0100245017","F"
"C0100245091","F"
"C0100245218","F"
"C0100245322","F"
"C0100245694","F"
"C0100246610","F"
"C0100246911","F"
"C0100247084","F"
"C0100247234","F"
"C0100248056","F"
"C0100248187","F"
"C0100248454","F"
"C0100248601","F"
"C0100248615","F"
"C0100248643","T"
"C0100249741","F"
"C0100249820","F"
"C0100249844","F"
"C0100250110","F"
"C0100250548","F"
"C0100250670","F"
"C0100251340","F"
"C0100251417","F"
"C0100251430","F"
"C0100252295","F"
"C0100253250","F"
"C0100253611","F"
"C0100253891","F"
"C0100253918","F"
"C0100254633","F"
"C0100254832","F"
"C0100254864","F"
"C0100255509","F"
"C0100255682","F"
"C0100255847","F"
"C0100256129","F"
"C0100256202","T"
"C0100256393","F"
"C0100256707","F"
"C0100256753","F"
"C0100256849","F"
"C0100257232","F"
"C0100257777","F"
"C0100257819","F"
"C0100258313","F"
"C0100258532","F"
"C0100259009","F"
"C0100261183","F"
"C0100261314","F"
"C0100261438","F"
"C0100261578","F"
"C0100261625","F"
"C0100261683","F"
"C0100261894","F"
"C0100262558","F"
"C0100262865","F"
"C0100263019","F"
"C0100263883","F"
"C0100264023","F"
"C0100264365","F"
"C0100264597","F"
"C0100265019","F"
"C0100265674","F"
"C0100265846","F"
"C0100266253","F"
"C0100266472","F"
"C0100267897","F"
"C0100268057","F"
"C0100268245","F"
"C0100268706","T"
"C0100269138","T"
"C0100269256","F"
"C0100269347","F"
"C0100269556","F"
"C0100269607","F"
"C0100269678","F"
"C0100270511","F"
"C0100270511","F"
"C0100270744","F"
"C0100280415","F"
"C0100280484","T"
"C0100280569","T"
"C0100280730","F"
"C0100280763","F"
"C0100281288","F"
"C0100282161","F"
"C0100282273","F"
"C0100282454","F"
"C0100282971","F"
"C0100283082","F"
"C0100283260","F"
"C0100283300","T"
"C0100283825","F"
"C0100284374","T"
"C0100284891","F"
"C0100285453","F"
"C0100285584","F"
"C0100285670","T"
"C0100287044","F"
"C0100287593","F"
"C0100287689","F"
"C0100288287","T"
"C0100289019","F"
"C0100290520","T"
"C0100290946","T"
"C0100291050","F"
"C0100292253","F"
"C0100292531","F"
"C0100549639","F"
"C0100550832","F"
"C0100551691","F"
"C0100553758","T"
"C0100554002","F"
"C0100554060","F"
"C0100554114","F"
"C0100554149","F"
"C0100554252","T"
"C0100555033","F"
"C0100555324","F"
"C0100556549","F"
"C0100556697","F"
"C0100557632","F"
"C0100557809","F"
"C0100557875","F"
"C0100558021","F"
"C0100558512","F"
"C0100558594","F"
"C0100558757","F"
"C0100559072","F"
"C0100559289","F"
"C0100559314","F"
"C0100559398","F"
"C0100559437","F"
"C0100559670","F"
"C0100559749","T"
"C0100559872","F"
"C0100559928","F"
"C0100560536","F"
"C0100560710","F"
"C0100560710","F"
"C0100563425","F"
"C0100563532","F"
"C0100563875","F"
"C0100564050","F"
"C0100564371","F"
"C0100564442","F"
"C0100564450","F"
"C0100564863","F"
"C0100565132","F"
"C0100566465","F"
"C0100566784","F"
"C0100567910","F"
"C0100568148","F"
"C0100568237","F"
"C0100568408","F"
"C0100569375","F"
"C0100569691","F"
"C0100570228","F"
"C0100570542","F"
"C0100570707","F"
"C0100570776","F"
"C0100570862","F"
"C0100570992","F"
"C0100571135","F"
"C0100571250","F"
"C0100571396","F"
"C0100571436","F"
"C0100571998","F"
"C0100572095","F"
"C0100572432","F"
"C0100572493","F"
"C0100572564","F"
"C0100573159","F"
"C0100574316","T"
"C0100574556","F"
"C0100574635","F"
"C0100574749","F"
"C0100575140","F"
"C0100575495","F"
"C0100575553","F"
"C0100575557","F"
"C0100575982","F"
"C0100577463","F"
"C0100577470","F"
"C0100578714","F"
"C0100578738","F"
"C0100578738","F"
"C0100578991","F"
"C0100579357","F"
"C0100579431","F"
"C0100579870","F"
"C0100580240","F"
"C0100580273","F"
"C0100580423","T"
"C0100580465","T"
"C0100580850","F"
"C0100581189","F"
"C0100581414","F"
"C0100581791","F"
"C0100581925","F"
"C0100581982","F"
"C0100583275","F"
"C0100583457","F"
"C0100584256","T"
"C0100584440","F"
"C0100584538","F"
"C0100584813","F"
"C0100586281","F"
"C0100586281","F"
"C0100586373","F"
"C0100586794","F"
"C0100587137","F"
"C0100587153","F"
"C0100587506","F"
"C0100587643","F"
"C0100588589","F"
"C0100588714","F"
"C0100588776","F"
"C0100588918","F"
"C0100589124","F"
"C0100589204","F"
"C0100589261","F"
"C0100589443","F"
"C0100589710","F"
"C0100590267","F"
"C0100590471","F"
"C0100590664","F"
"C0100590891","F"
"C0100591314","F"
"C0100592088","F"
"C0100592375","F"
"C0100592915","F"
"C0100593168","F"
"C0100593297","F"
"C0100593443","F"
"C0100593743","F"
"C0100593770","F"
"C0100593793","T"
"C0100594197","F"
"C0100594235","F"
"C0100594492","T"
"C0100594543","F"
"C0100594789","F"
"C0100594950","F"
"C0100595047","F"
"C0100595258","F"
"C0100595258","F"
"C0100597160","F"
"C0100597461","F"
"C0100597873","F"
"C0100598039","F"
"C0100598148","T"
"C0100598175","F"
"C0100598741","F"
"C0100598877","F"
"C0100599373","F"
"C0100599643","F"
"C0100600726","F"
"C0100600859","F"
"C0100600859","F"
"C0100601213","F"
"C0100601566","F"
"C0100601769","F"
"C0100601966","F"
"C0100602172","F"
"C0100602210","F"
"C0100602558","F"
"C0100602905","T"
"C0100602992","F"
"C0100603319","F"
"C0100604406","F"
"C0100604561","F"
"C0100604883","F"
"C0100604966","F"
"C0100604966","F"
"C0100605043","F"
"C0100605043","F"
"C0100605187","F"
"C0100605191","F"
"C0100605252","F"
"C0100605299","T"
"C0100605464","F"
"C0100605619","F"
"C0100605821","F"
"C0100606090","F"
"C0100606101","F"
"C0100606285","F"
"C0100606607","F"
"C0100606879","F"
"C0100607523","F"
"C0100607673","F"
"C0100608276","F"
"C0100608710","F"
"C0100608848","F"
"C0100608998","F"
"C0100609084","F"
"C0100609835","F"
"C0100609878","F"
"C0100610046","F"
"C0100610234","F"
"C0100610422","F"
"C0100610422","F"
"C0100610718","F"
"C0100611743","F"
"C0100613165","F"
"C0100613268","F"
"C0100614020","T"
"C0100614783","F"
"C0100615526","F"
"C0100616077","F"
"C0100616364","F"
"C0100616418","F"
"C0100616449","F"
"C0100616941","F"
"C0100617048","F"
"C0100617381","F"
"C0100618029","F"
"C0100618272","F"
"C0100618327","F"
"C0100618507","F"
"C0100618626","F"
"C0100618931","F"
"C0100619369","F"
"C0100619497","F"
"C0100619524","F"
"C0100620017","F"
"C0100620614","F"
"C0100621030","F"
"C0100621701","F"
"C0100621780","F"
"C0100621906","F"
"C0100622068","F"
"C0100622324","F"
"C0100622605","F"
"C0100623396","F"
"C0100623936","F"
"C0100624496","F"
"C0100624496","F"
"C0100624861","F"
"C0100625190","F"
"C0100625751","F"
"C0100625829","F"
"C0100625884","F"
"C0100626245","T"
"C0100626611","F"
"C0100626833","F"
"C0100627115","F"
"C0100627181","F"
"C0100627627","F"
"C0100627873","F"
"C0100628362","F"
"C0100628370","F"
"C0100628856","F"
"C0100628914","F"
"C0100629695","F"
"C0100629920","F"
"C0100629950","F"
"C0100629975","F"
"C0100630553","F"
"C0100630894","F"
"C0100631681","F"
"C0100632028","F"
"C0100632107","F"
"C0100632273","F"
"C0100632429","F"
"C0100632656","F"
"C0100632667","F"
"C0100632745","F"
"C0100633073","F"
"C0100633194","F"
"C0100633266","F"
"C0100633440","F"
"C0100633543","F"
"C0100633729","F"
"C0100633827","F"
"C0100634137","F"
"C0100634158","F"
"C0100634545","T"
"C0100634886","F"
"C0100635604","F"
"C0100635743","F"
"C0100635812","F"
"C0100635974","F"
"C0100636264","F"
"C0100636369","F"
"C0100636892","F"
"C0100636897","F"
"C0100637274","F"
"C0100637560","F"
"C0100637603","F"
"C0100637723","F"
"C0100638646","F"
"C0100638738","F"
"C0100638858","F"
"C0100639060","F"
"C0100639269","F"
"C0100639305","F"
"C0100639489","F"
"C0100640618","F"
"C0100640669","F"
"C0100641006","F"
"C0100641813","F"
"C0100641871","F"
"C0100642070","F"
"C0100642853","F"
"C0100642935","F"
"C0100643239","F"
"C0100643248","F"
"C0100643473","F"
"C0100643686","F"
